quarter,course_number,section_number,title,schedule,description,program,school_id
Spring 2021,28620,1,Crony Capitalism,TH 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/luigi.zingales/28620_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30000,1,Financial Accounting,M 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/valeri.nikolaev/30000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30000,2,Financial Accounting,M 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/valeri.nikolaev/30000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30000,3,Financial Accounting,T 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/joao.granja/30000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30000,4,Financial Accounting,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/joao.granja/30000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30000,5,Financial Accounting,F 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/anastasia.zakolyukina/30000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30000,6,Financial Accounting,F 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/anastasia.zakolyukina/30000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30000,7,Financial Accounting,T 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/joao.granja/30000_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30000,81,Financial Accounting,M 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/valeri.nikolaev/30000_syllabus.pdf,Evening MBA,1
Autumn 2020,30000,82,Financial Accounting,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/joao.granja/30000_syllabus.pdf,Evening MBA,1
Autumn 2020,30000,85,Financial Accounting,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/anastasia.zakolyukina/30000_syllabus.pdf,Weekend MBA,1
Winter 2021,30000,1,Financial Accounting,W 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/thomas.rauter/30000_syllabus.pdf,Full-Time MBA,1
Winter 2021,30000,81,Financial Accounting,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/thomas.rauter/30000_syllabus.pdf,Evening MBA,1
Spring 2021,30000,81,Financial Accounting,F 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/rimmy.tomy/30000_syllabus.pdf,Evening MBA,1
Spring 2021,30000,82,Financial Accounting,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/charles.mcclure/30000_syllabus.pdf,Evening MBA,1
Spring 2021,30000,83,Financial Accounting,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/charles.mcclure/30000_syllabus.pdf,Evening MBA,1
Spring 2021,30000,85,Financial Accounting,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/rimmy.tomy/30000_syllabus.pdf,Weekend MBA,1
Spring 2021,30000,86,Financial Accounting,S 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/rimmy.tomy/30000_syllabus.pdf,Weekend MBA,1
Summer 2021,30000,81,Financial Accounting,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/jdouglas.hanna/30000_syllabus.pdf,Evening MBA,1
Summer 2021,30000,85,Financial Accounting,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/jdouglas.hanna/30000_syllabus.pdf,Weekend MBA,1
Winter 2021,30001,1,Cost Analysis and Internal Controls,M 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/john.gallemore/30001_syllabus.pdf,Full-Time MBA,1
Winter 2021,30001,81,Cost Analysis and Internal Controls,M 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/john.gallemore/30001_syllabus.pdf,Evening MBA,1
Winter 2021,30001,85,Cost Analysis and Internal Controls,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/john.gallemore/30001_syllabus.pdf,Weekend MBA,1
Spring 2021,30001,1,Cost Analysis and Internal Controls,T 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/christopher.stewart/30001_syllabus.pdf,Full-Time MBA,1
Spring 2021,30001,81,Cost Analysis and Internal Controls,T 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/christopher.stewart/30001_syllabus.pdf,Evening MBA,1
Summer 2021,30001,81,Cost Analysis and Internal Controls,T 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/eva.labro/30001_syllabus.pdf,Evening MBA,1
Summer 2021,30001,82,Cost Analysis and Internal Controls,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/eva.labro/30001_syllabus.pdf,Evening MBA,1
Autumn 2020,30116,1,Accounting and Financial Analysis ,M 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/hans.christensen/30116_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30116,2,Accounting and Financial Analysis ,T 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/hans.christensen/30116_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30116,81,Accounting and Financial Analysis ,M 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/hans.christensen/30116_syllabus.pdf,Evening MBA,1
Winter 2021,30116,1,Accounting and Financial Analysis ,W 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/leonard.soffer/30116_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30118,1,Taxes and Business Strategy,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/merle.erickson/30118_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30118,2,Taxes and Business Strategy,TH 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/merle.erickson/30118_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30118,81,Taxes and Business Strategy,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/merle.erickson/30118_syllabus.pdf,Evening MBA,1
Spring 2021,30118,1,Taxes and Business Strategy,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ira.weiss/30118_syllabus.pdf,Full-Time MBA,1
Spring 2021,30118,81,Taxes and Business Strategy,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ira.weiss/30118_syllabus.pdf,Evening MBA,1
Spring 2021,30120,1,"Accounting, Economic, and Regulatory Issues in Complex Deals ",W 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/mark.maffett/30120_syllabus.pdf,Full-Time MBA,1
Spring 2021,30120,81,"Accounting, Economic, and Regulatory Issues in Complex Deals ",W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/mark.maffett/30120_syllabus.pdf,Evening MBA,1
Winter 2021,30121,1,Accounting for Entrepreneurship:  From Start-Up through IPO,T 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ira.weiss/30121_syllabus.pdf,Full-Time MBA,1
Winter 2021,30121,2,Accounting for Entrepreneurship:  From Start-Up through IPO,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ira.weiss/30121_syllabus.pdf,Full-Time MBA,1
Winter 2021,30121,81,Accounting for Entrepreneurship:  From Start-Up through IPO,T 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ira.weiss/30121_syllabus.pdf,Evening MBA,1
Spring 2021,30121,81,Accounting for Entrepreneurship:  From Start-Up through IPO,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/philip.berger/30121_syllabus.pdf,Evening MBA,1
Spring 2021,30121,82,Accounting for Entrepreneurship:  From Start-Up through IPO,F 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/philip.berger/30121_syllabus.pdf,Evening MBA,1
Spring 2021,30121,85,Accounting for Entrepreneurship:  From Start-Up through IPO,S 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/philip.berger/30121_syllabus.pdf,Weekend MBA,1
Autumn 2020,30130,1,Financial Statement Analysis,W 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/michael.minnis/30130_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30130,2,Financial Statement Analysis,T 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/michael.minnis/30130_syllabus.pdf,Full-Time MBA,1
Autumn 2020,30130,81,Financial Statement Analysis,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/michael.minnis/30130_syllabus.pdf,Evening MBA,1
