id,last_name,first_name,bio,
1,Zingales,Luigi,http://www.chicagobooth.edu/faculty/directory/z/luigi-zingales,
2,Nikolaev,Valeri,http://www.chicagobooth.edu/faculty/directory/n/valeri-nikolaev,
3,Granja,Joao,http://www.chicagobooth.edu/faculty/directory/g/joao-granja,
4,Zakolyukina,Anastasia,http://www.chicagobooth.edu/faculty/directory/z/anastasia-a-zakolyukina,
5,Rauter,Thomas,http://www.chicagobooth.edu/faculty/directory/r/thomas-rauter,
6,Tomy,Rimmy,http://www.chicagobooth.edu/faculty/directory/t/rimmy-tomy,
7,McClure,Charles,http://www.chicagobooth.edu/faculty/directory/m/charles-mcclure,
8,Hanna,J.,http://www.chicagobooth.edu/faculty/directory/h/j-douglas-hanna,
9,Gallemore,John,http://www.chicagobooth.edu/faculty/directory/g/john-gallemore,
10,Stewart,Christopher,http://www.chicagobooth.edu/faculty/directory/s/christopher-stewart,
11,Labro,Eva,http://www.chicagobooth.edu/faculty/directory/l/eva-labro,
12,Christensen,Hans,http://www.chicagobooth.edu/faculty/directory/c/hans-b-christensen,
13,Soffer,Leonard,http://www.chicagobooth.edu/faculty/directory/s/leonard-c-soffer,
14,Erickson,Merle,http://www.chicagobooth.edu/faculty/directory/e/merle-erickson,
15,Weiss,Ira,http://www.chicagobooth.edu/faculty/directory/w/ira-s-weiss,
16,Maffett,Mark,http://www.chicagobooth.edu/faculty/directory/m/mark-g-maffett,
17,Berger,Philip,http://www.chicagobooth.edu/faculty/directory/b/philip-g-berger,
18,Minnis,Michael,http://www.chicagobooth.edu/faculty/directory/m/michael-minnis,
19,Smith,Abbie,http://www.chicagobooth.edu/faculty/directory/s/abbie-j-smith,
20,Hand,John,http://www.chicagobooth.edu/faculty/directory/h/john-hand,
21,Jorgensen,Bjorn,http://www.chicagobooth.edu/faculty/directory/j/bjorn-jorgensen,
22,Leuz,Christian,http://www.chicagobooth.edu/faculty/directory/l/christian-leuz,
23,Sapra,Haresh,http://www.chicagobooth.edu/faculty/directory/s/haresh-sapra,
24,Ball,Ray,http://www.chicagobooth.edu/faculty/directory/b/ray-ball,
25,Pure,Darryl,http://www.chicagobooth.edu/faculty/directory/p/darryl-pure,
26,Carpenter,Christine,http://www.chicagobooth.edu/faculty/directory/c/christine-carpenter,
27,Volden,Richard,http://www.chicagobooth.edu/faculty/directory/v/richard-volden,
28,Stefanac,Lisa,http://www.chicagobooth.edu/faculty/directory/s/lisa-stefanac,
29,Raphling,Britt,http://www.chicagobooth.edu/faculty/directory/r/britt-raphling,
30,Collins,Chris,http://www.chicagobooth.edu/faculty/directory/c/chris-collins,
31,Davis,Harry,http://www.chicagobooth.edu/faculty/directory/d/harry-l-davis,
32,Vishny,Robert,http://www.chicagobooth.edu/faculty/directory/v/robert-w-vishny,
33,Kattan,Lara,http://www.chicagobooth.edu/faculty/directory/k/lara-kattan,
34,Wang,Xikuan,http://www.chicagobooth.edu/faculty/directory/w/xikuan-wang,
35,Lu,Haihao,http://www.chicagobooth.edu/faculty/directory/l/haihao-lu,
36,Mullainathan,Sendhil,http://www.chicagobooth.edu/faculty/directory/m/sendhil-mullainathan,
37,Dizon-Ross,Rebecca,http://www.chicagobooth.edu/faculty/directory/d/rebecca-dizon-ross,
38,Frankel,Alexander,http://www.chicagobooth.edu/faculty/directory/f/alexander-p-frankel,
39,Hornbeck,Richard,http://www.chicagobooth.edu/faculty/directory/h/richard-hornbeck,
40,Gibbs,Michael,http://www.chicagobooth.edu/faculty/directory/g/michael-gibbs,
41,McClellan,Andrew,http://www.chicagobooth.edu/faculty/directory/m/andrew-mcclellan,
42,Rappoport,Daniel,http://www.chicagobooth.edu/faculty/directory/r/daniel-rappoport,
43,Shivakumar,Ram,http://www.chicagobooth.edu/faculty/directory/s/ram-shivakumar,
44,Topel,Robert,http://www.chicagobooth.edu/faculty/directory/t/robert-h-topel,
45,Prendergast,Canice,http://www.chicagobooth.edu/faculty/directory/p/canice-prendergast,
